Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
183,tt9362930,2023-09-30,2023-09-30,,"Besouro Azul","Blue Beetle",https://www.imdb.com/title/tt9362930/,Filme,5.9,127,2023,"Ação, Aventura, Ficção científica, Suspense",114642,2023-08-17,"Angel Manuel Soto",,
184,tt13622776,2023-10-04,2023-10-04,,"Ahsoka","Ahsoka",https://www.imdb.com/title/tt13622776/,Série de TV,7.4,50,2023,"Ação, Aventura, Fantasia, Ficção científica",137694,2023-08-22,,,
185,tt9114286,2023-10-05,2023-10-05,,"Pantera Negra: Wakanda para Sempre","Black Panther: Wakanda Forever",https://www.imdb.com/title/tt9114286/,Filme,6.6,161,2022,"Ação, Aventura, Drama, Ficção científica",362404,2022-11-11,"Ryan Coogler",,
186,tt0144084,2023-10-16,2023-10-16,,"Psicopata Americano","American Psycho",https://www.imdb.com/title/tt0144084/,Filme,7.6,102,2000,"Comédia, Policial, Drama, Terror",818549,2000-12-22,"Mary Harron",,
187,tt27502227,2023-10-27,2023-10-27,,"Retratos Fantasmas","Retratos Fantasmas",https://www.imdb.com/title/tt27502227/,Filme,7.6,93,2023,"Documentário, História",2324,2023-08-24,"Kleber Mendonça Filho",,
188,tt13159924,2023-11-03,2023-11-03,,"Gen V","Gen V",https://www.imdb.com/title/tt13159924/,Série de TV,7.6,50,2023,"Ação, Aventura, Comédia, Drama, Ficção científica",143021,2023-09-29,,,
189,tt9140554,2023-11-27,2023-11-27,,"Loki","Loki",https://www.imdb.com/title/tt9140554/,Série de TV,8.2,50,2021,"Ação, Aventura, Fantasia, Ficção científica",462861,2021-06-09,,,
190,tt13055264,2023-12-01,2023-12-01,,"Estranha Forma de Vida","Extraña forma de vida",https://www.imdb.com/title/tt13055264/,Curta,6.2,31,2023,"Curta-Metragem, Drama, Faroeste",13370,2023-09-14,"Pedro Almodóvar",,
191,tt1977750,2023-12-01,2023-12-01,,"Cidadão Boilesen","Cidadão Boilesen",https://www.imdb.com/title/tt1977750/,Filme,8.1,92,2009,"Documentário",174,2009-11-27,"Chaim Litewski",,
192,tt0381707,2023-12-26,2023-12-26,,"As Branquelas","White Chicks",https://www.imdb.com/title/tt0381707/,Filme,5.9,109,2004,"Comédia, Policial",188371,2004-08-27,"Keenen Ivory Wayans",,
193,tt28289422,2023-12-26,2023-12-26,,"Doctor Who: The Church on Ruby Road","Doctor Who: The Church on Ruby Road",https://www.imdb.com/title/tt28289422/,Episódio de TV,6.7,55,2023,"Aventura, Drama, Ficção científica",10931,2023-12-25,"Mark Tonderai",,
194,tt14169970,2023-12-26,2023-12-26,,"What If...?: What If... Nebula Joined the Nova Corps?","What If...?: What If... Nebula Joined the Nova Corps?",https://www.imdb.com/title/tt14169970/,Episódio de TV,6.9,30,2023,"Animação, Ação, Aventura, Ficção científica",7094,2023-12-22,"Bryan Andrews, Stephan Franck",,
195,tt15090982,2023-12-26,2023-12-26,,"What If...?: What If... Peter Quill Attacked Earth's Mightiest Heroes?","What If...?: What If... Peter Quill Attacked Earth's Mightiest Heroes?",https://www.imdb.com/title/tt15090982/,Episódio de TV,7.2,31,2023,"Animação, Ação, Aventura, Ficção científica",6681,2023-12-23,"Bryan Andrews",,
196,tt5537002,2024-01-04,2024-01-04,,"Assassinos da Lua das Flores","Killers of the Flower Moon",https://www.imdb.com/title/tt5537002/,Filme,7.5,206,2023,"Policial, Drama, História, Faroeste",299248,2023-10-19,"Martin Scorsese",,
