"CO_CURSO","NO_CURSO","FK_CO_IES"
52461,ADMINISTRAÇÃO,437
52465,FARMÁCIA,453
52472,ARTES VISUAIS,573
52489,SISTEMA DE INFORMAÇÃO,403
52497,EDUCAÇÃO FÍSICA,513
52522,CIÊNCIA DA COMPUTAÇÃO,1045
52535,ENGENHARIA DE COMPUTAÇÃO,730
52543,EDUCAÇÃO FÍSICA,1045
52551,TEOLOGIA,11
52554,MEDICINA VETERINÁRIA,1045
52589,FARMÁCIA,19
52665,CIÊNCIA DA COMPUTAÇÃO,426
52667,ENFERMAGEM,449
52743,BIOMEDICINA,1414
52753,ADMINISTRAÇÃO,1045
52756,BIOLOGIA,738
52760,CIÊNCIAS BIOLÓGICAS,1883
52763,EDUCAÇÃO FÍSICA,1883
52779,ADMINISTRAÇÃO,3515
52783,FISIOTERAPIA,1895
52797,PSICOLOGIA,522
52809,SISTEMAS DE INFORMAÇÃO,449
52829,ADMINISTRAÇÃO,449
52831,CIÊNCIAS BIOLÓGICAS,222
52834,QUÍMICA,222
52852,PSICOLOGIA,3
52863,DIREITO,449
52865,EDUCAÇÃO FÍSICA,449
52876,CIÊNCIAS CONTÁBEIS,1066
52879,CIÊNCIAS CONTÁBEIS,1096
52889,ARQUITETURA E URBANISMO,1513
52891,FISIOTERAPIA,1624
52894,LETRAS - PORTUGUÊS E INGLÊS E RESPECTIVAS LIT,1396
52901,ADMINISTRAÇÃO,1573
52904,DIREITO,1396
52906,DIREITO,1107
52908,ADMINISTRAÇÃO,449
52910,DIREITO,1658
52912,DIREITO,1273
52914,DIREITO,1423
52917,DIREITO,4826
52919,DIREITO,1046
52921,DIREITO,1910
52929,DIREITO,449
52933,PEDAGOGIA,449
52957,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,146
52958,COMUNICAÇÃO SOCIAL - JORNALISMO,146
52961,MATEMÁTICA,222
52963,MÚSICA,519
52971,ARQUITETURA E URBANISMO,11
52975,ADMINISTRAÇÃO,2122
52977,FISIOTERAPIA,11
52987,ADMINISTRAÇÃO,2123
53011,FISIOTERAPIA,322
53027,DIREITO,398
53037,DIREITO,449
53045,DIREITO,449
53101,AGRONOMIA,569
53119,ENGENHARIA ELÉTRICA,1032
53120,ENGENHARIA DE AUTOMAÇÃO E CONTROLE,1032
53122,CIÊNCIAS,568
53149,ADMINISTRAÇÃO,2168
53156,CIÊNCIAS CONTÁBEIS,2168
53163,ENFERMAGEM,437
53165,FARMÁCIA,437
53167,FARMÁCIA,437
53171,EDUCAÇÃO FÍSICA,437
53175,ENFERMAGEM,437
53177,FARMÁCIA,437
53190,ADMINISTRAÇÃO,1984
53193,ENGENHARIA DA COMPUTAÇÃO,569
53202,MEDICINA VETERINÁRIA,569
53205,ADMINISTRAÇÃO,1469
53243,AGRONOMIA,18440
53265,CIÊNCIAS ECONÔMICAS,1573
53274,ARQUITETURA E URBANISMO,437
53290,ADMINISTRAÇÃO,1362
53295,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,2085
53296,ADMINISTRAÇÃO,2085
53301,ADMINISTRAÇÃO,2086
53314,ODONTOLOGIA,343
53331,SISTEMAS DE INFORMAÇÃO,1053
53333,SISTEMAS DE INFORMAÇÃO,1364
53335,DIREITO,396
53338,MEDICINA,549
53340,DIREITO,1556
53342,SISTEMAS DE INFORMAÇÃO,1895
53344,DIREITO,267
53347,DIREITO,1717
53349,DIREITO,1068
53352,ADMINISTRAÇÃO,1952
53353,DIREITO,1075
53358,RELAÇÕES PÚBLICAS,3602
53367,PSICOLOGIA,1379
53370,PSICOLOGIA,23
53374,ADMINISTRAÇÃO,1530
53379,PEDAGOGIA,1937
53382,DIREITO,1381
53397,ENFERMAGEM,898
53405,SISTEMAS DE INFORMAÇÃO,344
53409,FISIOTERAPIA,1836
53411,TEOLOGIA,1365
53414,ENFERMAGEM,1624
53424,DIREITO,5215
53428,ENGENHARIA,4522
53429,ENGENHARIA,4522
53439,MÚSICA,1190
53454,LETRAS,2222
53459,CIÊNCIAS BIOLÓGICAS,1173
53463,ADMINISTRAÇÃO,1173
53465,GEOGRAFIA,641
53467,HISTÓRIA,641
53469,CIÊNCIAS BIOLÓGICAS,641
53471,FÍSICA,641
53473,QUÍMICA,641
53475,MATEMÁTICA,641
53480,CIÊNCIAS BIOLÓGICAS,15032
53482,ENGENHARIA QUÍMICA,452
53486,ADMINISTRAÇÃO,452
53490,PUBLICIDADE E PROPAGANDA,1173
53491,ARTES VISUAIS,15032
53493,ADMINISTRAÇÃO,2233
53495,CIÊNCIAS CONTÁBEIS,2075
53511,DIREITO,705
53516,HISTÓRIA,810
53518,ENGENHARIA DA COMPUTAÇÃO,1569
53520,SISTEMAS DE INFORMAÇÃO,163
53522,ADMINISTRAÇÃO,592
53531,DIREITO,1805
53534,LETRAS - PORTUGUÊS E INGLÊS,830
53535,SISTEMAS DE INFORMAÇÃO,1465
53554,ADMINISTRAÇÃO,2257
53557,PEDAGOGIA,1968
53562,DIREITO,1728
53574,PSICOLOGIA,5285
53582,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,2264
53589,ADMINISTRAÇÃO,2266
53592,SISTEMA DE INFORMAÇÃO,43
53596,CIÊNCIAS CONTÁBEIS,43
53628,PSICOLOGIA,3840
53635,DIREITO,2275
53646,DIREITO,3612
53682,FISIOTERAPIA,226
53692,FILOSOFIA,715
53701,FISIOTERAPIA,216
53750,MÚSICA - CANTO,580
53760,MÚSICA - INSTRUMENTO,580
53786,ENGENHARIA DA COMPUTAÇÃO,1041
53788,CIÊNCIA DA COMPUTAÇÃO,481
53794,ADMINISTRAÇÃO,2288
53869,FISIOTERAPIA,1298
53871,MATEMÁTICA,1313
53873,CIÊNCIAS CONTÁBEIS,1708
53875,PEDAGOGIA,1581
53886,ENGENHARIA ELÉTRICA,1569
53892,CIÊNCIAS CONTÁBEIS,1699
53894,ADMINISTRAÇÃO,1503
53896,CIÊNCIAS CONTÁBEIS,2085
53898,SISTEMA DE INFORMAÇÃO,1660
53900,ADMINISTRAÇÃO,1996
53908,TURISMO,1996
53910,CIÊNCIAS CONTÁBEIS,1996
53912,ADMINISTRAÇÃO,1992
53916,ENFERMAGEM,242
53930,GESTÃO AMBIENTAL,242
54042,DIREITO,2343
54044,CIÊNCIAS BIOLÓGICAS,29
54046,ARTES VISUAIS,2350
54051,LETRAS - PORTUGUÊS E ESPANHOL,2350
54052,LETRAS - PORTUGUÊS E INGLÊS,2350
54053,PEDAGOGIA,2350
54056,ODONTOLOGIA,621
54074,LETRAS - ESPANHOL,621
54075,COMUNICAÇÃO SOCIAL,756
54080,DIREITO,4793
54082,DIREITO,798
54112,ADMINISTRAÇÃO,2380
54136,PEDAGOGIA,663
54137,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,793
54162,DESIGN - INDUSTRIAL,43
54163,DESIGN GRÁFICO,43
54164,DIREITO,1598
54170,MATEMÁTICA,137
54172,SISTEMAS DE INFORMAÇÃO,76
54174,CIÊNCIAS BIOLÓGICAS,137
54182,PEDAGOGIA,1854
54204,ENGENHARIA DE COMPUTAÇÃO,2423
54205,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2423
54207,ENGENHARIA DE TELECOMUNICAÇÕES,2423
54208,ENGENHARIA QUÍMICA,2423
54213,ADMINISTRAÇÃO,2427
54228,ADMINISTRAÇÃO,2437
54230,PEDAGOGIA,2437
54237,EDUCAÇÃO FÍSICA,2440
54239,FISIOTERAPIA,2440
54260,ADMINISTRAÇÃO,2456
54262,ADMINISTRAÇÃO,2459
54266,CIÊNCIAS CONTÁBEIS,2459
54270,PUBLICIDADE E PROPAGANDA,2459
54294,POLÍMEROS,599
54296,ADMINISTRAÇÃO,2460
54304,DIREITO,2465
54306,TEOLOGIA,2468
54308,SERVIÇO SOCIAL,2469
54310,ADMINISTRAÇÃO,2469
54330,SERVIÇO SOCIAL,2186
54340,ADMINISTRAÇÃO,30
54352,TEOLOGIA,2485
54373,PEDAGOGIA,1230
54382,FARMÁCIA,277
54385,ENFERMAGEM,277
54387,NUTRIÇÃO,277
54396,MEDICINA VETERINÁRIA,15015
54400,CIÊNCIAS BIOLÓGICAS,15015
54418,EDUCAÇÃO FÍSICA,1917
54420,EDUCAÇÃO FÍSICA,5369
54437,PSICOLOGIA,140
54441,DIREITO,167
54446,DIREITO,1493
54456,EDUCAÇÃO FÍSICA,2257
54458,CIÊNCIAS CONTÁBEIS,2257
54460,TEOLOGIA,337
54476,ENGENHARIA AMBIENTAL E SANITÁRIA,38
54479,ENFERMAGEM,38
54487,MATEMÁTICA,38
54490,MEDICINA,583
54494,MEDICINA,18759
54504,AGRONOMIA,47
54516,PEDAGOGIA,38
54520,CIÊNCIA DA COMPUTAÇÃO,43
54538,SISTEMAS DE INFORMAÇÃO,266
54549,TEOLOGIA,2135
54552,ADMINISTRAÇÃO,2184
54562,LETRAS - PORTUGUÊS,38
54602,ADMINISTRAÇÃO,2147
54605,TURISMO,2147
54611,ADMINISTRAÇÃO,2536
54614,COMUNICAÇÃO SOCIAL - JORNALISMO,1775
54620,PSICOLOGIA,1734
54622,DIREITO,1697
54624,PSICOLOGIA,1498
54647,CIÊNCIAS BIOLÓGICAS,4166
54651,PEDAGOGIA,4166
54656,ADMINISTRAÇÃO,5303
54663,EDUCAÇÃO FÍSICA,1913
54672,GEOGRAFIA,1538
54676,CIÊNCIAS BIOLÓGICAS,435
54685,ENGENHARIA,1766
54686,DIREITO,1244
54688,DIREITO,1540
54694,ADMINISTRAÇÃO,18874
54726,FARMÁCIA,526
54735,PSICOLOGIA,669
54737,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1996
54738,ADMINISTRAÇÃO,2560
54743,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,2560
54746,SEGURANÇA DA INFORMAÇÃO,3610
54762,MATEMÁTICA,752
54770,PSICOLOGIA,1077
54780,FILOSOFIA,2186
54792,CIÊNCIA DA COMPUTAÇÃO,1412
54794,COMUNICAÇÃO SOCIAL - JORNALISMO,1612
54795,DIREITO,1032
54809,MATEMÁTICA,810
54820,ADMINISTRAÇÃO,449
54822,ADMINISTRAÇÃO,295
54828,DIREITO,1510
54830,DIREITO,1599
54834,DIREITO,1514
54836,DIREITO,1563
54838,DIREITO,898
54842,ADMINISTRAÇÃO,2568
54846,DIREITO,1545
54854,NUTRIÇÃO,2571
54856,CIÊNCIAS BIOLÓGICAS,2571
54859,ENGENHARIA CIVIL,2571
54860,ENGENHARIA,2571
54861,FONOAUDIOLOGIA,2571
54864,ADMINISTRAÇÃO,2572
54866,TEOLOGIA,2573
54869,TEOLOGIA,2001
54874,CIÊNCIAS DA RELIGIÃO,2049
54882,GEOGRAFIA,517
54884,HISTÓRIA,517
54890,SISTEMA DE INFORMAÇÃO,222
54903,FISIOTERAPIA,1883
54908,ADMINISTRAÇÃO,2270
54909,CIÊNCIAS CONTÁBEIS,2270
54911,MUSICOTERAPIA,1382
54913,TEOLOGIA,2141
54915,LETRAS - PORTUGUÊS E INGLÊS,225
54924,FISIOTERAPIA,1414
54926,MATEMÁTICA,1309
54928,ADMINISTRAÇÃO,2206
54932,ARQUITETURA E URBANISMO,2037
54934,SISTEMAS DE INFORMAÇÃO,2037
54938,DIREITO,2579
54961,SISTEMAS DE INFORMAÇÃO,166
54964,ADMINISTRAÇÃO,2566
54969,ODONTOLOGIA,1600
54971,DIREITO,1070
54973,FISIOTERAPIA,1263
54975,ENFERMAGEM,2158
54977,CIÊNCIAS CONTÁBEIS,1702
54979,SERVIÇO SOCIAL,501
54981,ENFERMAGEM,501
54985,LETRAS - LÍNGUA PORTUGUESA E LITERATURAS DE L,1313
54995,DIREITO,1659
54997,DIREITO,1486
55005,SISTEMAS DE INFORMAÇÃO,2582
55007,ADMINISTRAÇÃO,2582
55009,LETRAS - LÍNGUA PORTUGUESA,2582
55026,MÚSICA - EDUCAÇÃO MUSICAL ESCOLAR,1036
55031,PSICOLOGIA,1461
55048,ENFERMAGEM,457
55055,MATEMÁTICA,457
55057,NUTRIÇÃO,457
55059,PEDAGOGIA,457
55075,GESTÃO DE TURISMO,1964
55077,GASTRONOMIA,1964
55094,DANÇA,8
55096,CIÊNCIA DA COMPUTAÇÃO,150
55099,FARMÁCIA,506
55100,DIREITO,457
55103,EDUCAÇÃO FÍSICA,457
55109,PSICOLOGIA,457
55129,ENFERMAGEM,163
55132,JORNALISMO,163
55133,PUBLICIDADE E PROPAGANDA,163
55134,FISIOTERAPIA,163
55139,ADMINISTRAÇÃO,1219
55149,MARKETING,163
55151,ENFERMAGEM,163
55153,MÚSICA,363
55167,FISIOTERAPIA,1239
55173,ENGENHARIA DE COMPUTAÇÃO,1410
55193,ADMINISTRAÇÃO,1943
55203,PEDAGOGIA,2537
55217,CIÊNCIAS BIOLÓGICAS,1938
55224,JORNALISMO,1509
55236,PEDAGOGIA,705
55270,COMUNICAÇÃO SOCIAL -RADIALISMO - PRODUÇÃO EM ,295
55272,ENGENHARIA AMBIENTAL,295
55276,LETRAS - PORTUGUÊS,295
55288,FARMÁCIA,2494
55294,ADMINISTRAÇÃO,2036
55300,ARTES VISUAIS,298
55316,LETRAS - INGLÊS,295
55318,LETRAS - ESPANHOL,295
55324,GEOGRAFIA,295
55327,HISTÓRIA,295
55332,SISTEMAS DE INFORMAÇÃO,792
55334,NUTRIÇÃO,792
55336,ARQUITETURA E URBANISMO,823
55362,ODONTOLOGIA,124
55388,ENFERMAGEM,823
55396,PEDAGOGIA,2205
55402,SISTEMA DE INFORMAÇÃO,823
55404,ENGENHARIA ELÉTRICA,227
55412,MODA,146
55435,ADMINISTRAÇÃO,1243
55439,ARQUITETURA E URBANISMO,349
55452,ENGENHARIA AGRÍCOLA E AMBIENTAL,8
55454,MARKETING E PROPAGANDA,298
55486,SISTEMA DE INFORMAÇÃO,516
55504,ADMINISTRAÇÃO,5555
55514,CIÊNCIAS CONTÁBEIS,605
55516,SISTEMAS DE INFORMAÇÃO,605
55519,ENFERMAGEM,605
55521,FARMÁCIA,605
55523,NUTRIÇÃO,605
55525,FISIOTERAPIA,605
55532,ADMINISTRAÇÃO,2624
55536,REDES DE COMPUTADORES,2625
55542,SISTEMA DE INFORMAÇÃO,1446
55553,AUTOMAÇÃO INDUSTRIAL,1958
55563,MANUTENÇÃO INDUSTRIAL,1763
55567,LOGÍSTICA,1776
55569,REDES DE COMPUTADORES,1295
55596,DIREITO,1411
55600,DIREITO,1131
55604,CIÊNCIAS CONTÁBEIS,1267
55632,CIÊNCIAS CONTÁBEIS,2581
55646,GASTRONOMIA,1308
55657,MÚSICA,158
55750,ENFERMAGEM,27
55756,CIÊNCIAS BIOLÓGICAS,727
55761,DIREITO,1281
55765,DIREITO,1797
55767,DIREITO,1903
55777,SISTEMAS DE INFORMAÇÃO,1722
55782,PEDAGOGIA,923
55800,MARKETING,15
55806,ADMINISTRAÇÃO,466
55811,MATEMÁTICA,15015
55813,CIÊNCIAS BIOLÓGICAS,15015
55828,COMUNICAÇÃO SOCIAL - JORNALISMO,466
55830,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,466
55831,"RÁDIO, TV E INTERNET",466
55837,ENGENHARIA CIVIL,466
55838,PEDAGOGIA,694
55840,FARMÁCIA,466
55842,MARKETING,466
55844,NUTRIÇÃO,466
55846,TURISMO,466
55862,MATEMÁTICA,416
55869,LETRAS - LÍNGUA PORTUGUESA,383
55896,SISTEMAS DE INFORMAÇÃO,456
55973,SERVIÇO SOCIAL,18492
55998,DIREITO,4256
56002,FILOSOFIA,2539
56008,EDUCAÇÃO FÍSICA,2058
56010,ADMINISTRAÇÃO,2171
56021,LETRAS - PORTUGUÊS E INGLÊS,2756
56022,ADMINISTRAÇÃO,2756
56026,LETRAS - INGLÊS,2154
56028,LETRAS - ESPANHOL,2154
56030,LETRAS - INGLÊS,5
56040,CIÊNCIAS CONTÁBEIS,2532
56042,PEDAGOGIA,2761
56044,ADMINISTRAÇÃO,2761
56058,ADMINISTRAÇÃO,2771
56069,CIÊNCIAS CONTÁBEIS,2773
56071,ADMINISTRAÇÃO,2773
56085,ENFERMAGEM,664
56087,ENGENHARIA DE PETRÓLEO,664
56095,FISIOTERAPIA,2565
56121,SISTEMAS DE INFORMAÇÃO,2184
56129,ZOOTECNIA,9
56134,PEDAGOGIA,1036
56141,CIÊNCIAS BIOLÓGICAS,664
56150,GERÊNCIA DE NEGÓCIOS,1658
56151,GERÊNCIA DE MARKETING,1658
56152,GERÊNCIA EM NEGÓCIOS IMOBILIÁRIOS,1658
56153,GESTÃO DE REDE DE COMPUTADORES,1658
56158,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,2783
56160,DIREITO,1492
56162,"COMUNICAÇÃO SOCIAL - RÁDIO, TV E MULTIMÍDIA",1385
56163,CIÊNCIAS CONTÁBEIS,2771
56170,FARMÁCIA,1883
56172,SISTEMAS DE INFORMAÇÃO,385
56182,TEOLOGIA,610
56188,DIREITO,2849
56190,CIÊNCIAS CONTÁBEIS,2086
56194,CIÊNCIAS CONTÁBEIS,1182
56196,INFORMÁTICA,626
56198,CIÊNCIAS CONTÁBEIS,5303
56205,PUBLICIDADE E PROPAGANDA,1658
56207,GERÊNCIA DE COMÉRCIO EXTERIOR,1658
56208,ANÁLISE DE SISTEMAS,1658
56214,GERÊNCIA DE OBRAS CIVIS,1658
56215,GERÊNCIA DE CLÍNICAS E HOSPITAIS,1658
56220,GESTÃO E DESENVOLVIMENTO DO TURISMO,1658
56222,ADMINISTRAÇÃO,1462
56270,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,146
56316,DIREITO,1977
56318,DIREITO,452
56320,DIREITO,416
56323,PUBLICIDADE E PROPAGANDA,1066
56334,NUTRIÇÃO,2469
56340,PEDAGOGIA,2494
56346,PEDAGOGIA,1900
56352,PEDAGOGIA,2572
56353,PEDAGOGIA,2572
56354,PEDAGOGIA,1423
56356,PEDAGOGIA,1492
56360,PEDAGOGIA,1967
56376,CIÊNCIA DA COMPUTAÇÃO,926
56380,ADMINISTRAÇÃO,2538
56382,DIREITO,3840
56388,DIREITO,5600
56394,ODONTOLOGIA,3146
56438,FISIOTERAPIA,707
56440,NUTRIÇÃO,707
56442,DIREITO,4010
56448,TEOLOGIA,1503
56452,CIÊNCIAS CONTÁBEIS,1395
56454,SISTEMAS DE INFORMAÇÃO,1457
56466,FISIOTERAPIA,1927
56476,CIÊNCIAS AERONÁUTICAS,1557
56482,ADMINISTRAÇÃO,2132
56489,CIÊNCIAS CONTÁBEIS,2132
56496,ENFERMAGEM,2440
56498,PEDAGOGIA,5217
56510,MATEMÁTICA,1224
56528,SERVIÇO SOCIAL,1308
56540,MANUTENÇÃO INDUSTRIAL,588
56546,ENGENHARIA ELÉTRICA,1244
56571,LETRAS - INGLÊS,1724
56585,NUTRIÇÃO,673
56596,CIÊNCIAS CONTÁBEIS,826
56598,CIÊNCIAS ECONÔMICAS,2554
56600,PEDAGOGIA,2554
56618,NUTRIÇÃO,2082
56622,NUTRIÇÃO,496
56630,NUTRIÇÃO,555
56642,DESIGN DE MODA,496
56645,NUTRIÇÃO,402
56664,ENFERMAGEM,641
56666,FISIOTERAPIA,641
56668,NUTRIÇÃO,641
56696,NUTRIÇÃO,21
56702,ENGENHARIA DE COMPUTAÇÃO,21
56706,EDUCAÇÃO FÍSICA,1575
56708,ADMINISTRAÇÃO,1575
56716,DIREITO,2041
56718,DIREITO,2131
56720,PSICOLOGIA,1244
56724,PEDAGOGIA,3602
56726,SISTEMA DE INFORMAÇÃO,1909
56730,CIÊNCIAS CONTÁBEIS,1933
56732,PEDAGOGIA,2257
56734,PEDAGOGIA,1388
56738,PEDAGOGIA,900
56744,CIÊNCIAS BIOLÓGICAS,1187
56746,DIREITO,2582
56748,DIREITO,985
56750,DIREITO,1313
56757,SISTEMAS DE INFORMAÇÃO,81
56764,REDES DE COMPUTADORES,1591
56766,SISTEMAS DE INFORMAÇÃO,21
56768,FABRICAÇÃO MECÂNICA,3155
56780,AUTOMAÇÃO INDUSTRIAL,793
56802,ADMINISTRAÇÃO,1396
56803,FISIOTERAPIA,1396
56808,PEDAGOGIA,1396
56816,TEOLOGIA,2133
56820,REDES DE COMPUTADORES,3159
56906,ENFERMAGEM,423
56912,PEDAGOGIA,781
56998,CIÊNCIAS CONTÁBEIS,1219
57000,PUBLICIDADE E PROPAGANDA,1092
57004,TEOLOGIA,2098
57016,RELAÇÕES INTERNACIONAIS,1439
57018,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1439
57028,SISTEMAS DE INFORMAÇÃO,1436
57044,GESTÃO DE RECURSOS HUMANOS,1509
57046,GESTÃO DE RECURSOS HUMANOS,1986
57048,GESTÃO FINANCEIRA,5668
57052,MARKETING,2783
57054,RADIOLOGIA,434
57066,REDES DE COMPUTADORES,3169
57072,ENFERMAGEM,423
57074,ADMINISTRAÇÃO,891
57102,EDUCAÇÃO FÍSICA,1313
57104,COMUNICAÇÃO SOCIAL - RADIALISMO,570
57106,MATEMÁTICA,1465
57108,FISIOTERAPIA,2082
57110,ADMINISTRAÇÃO,3171
57122,GESTÃO DE RECURSOS HUMANOS,1541
57134,REDES DE COMPUTADORES,1541
57136,GESTÃO DE RECURSOS HUMANOS,1541
57150,DIREITO,338
57154,CIÊNCIAS CONTÁBEIS,338
57158,HISTÓRIA,1153
57160,LETRAS,1153
57162,CIÊNCIAS SOCIAIS,1153
57174,SISTEMAS DE INFORMAÇÃO,338
57176,ADMINISTRAÇÃO,338
57178,SISTEMAS DE INFORMAÇÃO,1299
57180,COMUNICAÇÃO SOCIAL,1153
57182,COMUNICAÇÃO SOCIAL,1153
57200,PSICOLOGIA,124
57214,ADMINISTRAÇÃO,163
57224,ENGENHARIA ELÉTRICA,143
57226,ENGENHARIA CIVIL,143
57228,PEDAGOGIA,1153
57232,ARQUITETURA E URBANISMO,1196
57236,BIOMEDICINA,1196
57257,ADMINISTRAÇÃO,2553
57258,ENGENHARIA FLORESTAL,2469
57278,PEDAGOGIA,693
57279,SISTEMAS DE INFORMAÇÃO,825
57289,TEOLOGIA,2069
57292,ENGENHARIA AMBIENTAL E SANITÁRIA,275
57294,FISIOTERAPIA,1461
57346,SERVIÇO SOCIAL,1196
57358,TEOLOGIA,1196
57366,CIÊNCIAS BIOLÓGICAS,1196
57376,PEDAGOGIA,738
57386,ENFERMAGEM,1196
57392,DIREITO,1624
57394,DIREITO,2132
57396,DIREITO,1175
57398,DIREITO,1880
57400,DIREITO,1913
57402,MEDICINA,417
57422,PEDAGOGIA,898
57440,JORNALISMO,80
57444,CIÊNCIAS BIOLÓGICAS,81
57446,ENGENHARIA DE PRODUÇÃO,13
57458,SISTEMAS DE INFORMAÇÃO,5593
57466,SISTEMAS DE INFORMAÇÃO,1898
57470,ENGENHARIA DE PRODUÇÃO,80
57502,GEOGRAFIA,13
57504,SISTEMAS DE INFORMAÇÃO,13
57508,COMPUTAÇÃO,13
57514,DESIGN DE PRODUTO,3162
57516,ELETRÔNICA INDUSTRIAL,3162
57522,DIREITO,1538
57530,CIÊNCIAS CONTÁBEIS,521
57532,ADMINISTRAÇÃO,298
57544,DIREITO,922
57546,DIREITO,1174
57548,QUÍMICA,20
57562,PSICOLOGIA,1642
57574,ENGENHARIA AMBIENTAL,1053
57576,BIOMEDICINA,1444
57588,DIREITO,344
57590,DIREITO,3688
57604,TURISMO,71
57606,CIÊNCIA DA COMPUTAÇÃO,71
57608,DIREITO,71
57612,SISTEMAS DE INFORMAÇÃO,1642
57616,DIREITO,5520
57622,CIÊNCIAS CONTÁBEIS,71
57624,ADMINISTRAÇÃO,71
57630,PEDAGOGIA,1196
57632,DIREITO,3182
57638,DESIGN DE INTERIORES,3160
57662,SISTEMAS ELÉTRICOS,3160
57670,GESTÃO AMBIENTAL,778
57682,DIREITO,1428
57684,DIREITO,1219
57686,DIREITO,2257
57691,ENGENHARIA AMBIENTAL,1642
57692,ADMINISTRAÇÃO,2336
57702,CIÊNCIA DA COMPUTAÇÃO,14
57704,CIÊNCIAS BIOLÓGICAS,517
57706,ENGENHARIA ELÉTRICA,13
57707,PEDAGOGIA,71
57714,ENGENHARIA DE MATERIAIS,13
57718,SANEAMENTO AMBIENTAL,3183
57722,GESTÃO DE TURISMO,3184
57724,IRRIGAÇÃO E DRENAGEM,4098
57728,FISIOTERAPIA,14
57784,LOGÍSTICA,37
57792,DIREITO,163
57798,DIREITO,338
57800,DIREITO,1307
57802,DIREITO,1509
57804,PSICOLOGIA,1310
57810,DIREITO,3186
57815,CIÊNCIAS CONTÁBEIS,2336
57820,SISTEMAS DE INFORMAÇÃO,457
57824,BIOMEDICINA,222
57826,DIREITO,1647
57828,DIREITO,2086
57842,DIREITO,161
57849,ENFERMAGEM,750
57852,MEDICINA,750
57856,PSICOLOGIA,878
57858,PSICOLOGIA,1365
57870,GESTÃO DA QUALIDADE,3189
57872,ENGENHARIA AGRÍCOLA E AMBIENTAL,587
57874,CIÊNCIAS ECONÔMICAS,426
57876,FISIOTERAPIA,426
57880,FABRICAÇÃO MECÂNICA,1351
57886,DESIGN DIGITAL,244
57896,CIÊNCIAS CONTÁBEIS,18492
57900,SISTEMAS DE INFORMAÇÃO,3602
57906,SISTEMAS DE INFORMAÇÃO,2113
57908,ADMINISTRAÇÃO,2113
57916,PROCESSOS QUÍMICOS,3163
57918,PRODUÇÃO CULTURAL,3163
57926,ODONTOLOGIA,1414
57928,DIREITO,1118
57942,TEOLOGIA,2134
57944,EDUCAÇÃO FÍSICA,10
57948,ENGENHARIA DE ALIMENTOS,10
57981,LETRAS,2773
57984,SISTEMAS DE INFORMAÇÃO,852
57986,ENGENHARIA DE TELECOMUNICAÇÕES,244
57991,LETRAS - ESPANHOL,2012
58006,SISTEMAS DE INFORMAÇÃO,87
58008,LOGÍSTICA,5403
58018,PRODUÇÃO MULTIMÍDIA,5403
58022,GESTÃO FINANCEIRA,778
58027,GESTÃO DE SEGURANÇA PRIVADA,4826
58038,NATUROLOGIA,466
58043,ENFERMAGEM,398
58054,DIREITO,532
58070,GESTÃO DA PRODUÇÃO INDUSTRIAL,521
58074,CIÊNCIAS BIOLÓGICAS,1027
58075,AGRONOMIA,699
58080,REDES DE COMPUTADORES,802
58082,QUÍMICA,699
58084,JORNALISMO,699
58092,TURISMO,575
58114,DIREITO,1155
58116,DIREITO,1838
58118,DIREITO,1758
58120,DIREITO,1591
58128,EDUCAÇÃO FÍSICA,2774
58139,LETRAS - PORTUGUÊS E INGLÊS,1933
58149,ENGENHARIA INDUSTRIAL QUÍMICA,23
58150,ADMINISTRAÇÃO,2072
58154,PEDAGOGIA,3192
58156,ENGENHARIA INDUSTRIAL MECÂNICA,23
58160,ADMINISTRAÇÃO,2470
58173,SERVIÇO SOCIAL,1972
58178,ADMINISTRAÇÃO,163
58180,EDUCAÇÃO FÍSICA,1292
58186,RELAÇÕES PÚBLICAS,891
58187,DESIGN,57
58188,AGRONOMIA,57
58198,CIÊNCIAS ECONÔMICAS,18492
58200,ENGENHARIA AGRÍCOLA,57
58202,MEDICINA VETERINÁRIA,57
58205,LETRAS - PORTUGUÊS E INGLÊS,23
58207,CONSTRUÇÃO CIVIL,57
58211,JORNALISMO,1041
58224,GESTÃO DE RECURSOS HUMANOS,5555
58232,ALIMENTOS,57
58238,MEIO AMBIENTE,57
58242,MODA,57
58255,ADMINISTRAÇÃO,2149
58266,ADMINISTRAÇÃO,2241
58274,PSICOLOGIA,3974
58275,CIÊNCIAS CONTÁBEIS,2241
58279,ADMINISTRAÇÃO,2420
58286,CIÊNCIAS CONTÁBEIS,2420
58288,TURISMO,2420
58292,CIÊNCIAS CONTÁBEIS,1381
