"CO_CURSO","NO_CURSO","FK_CO_IES"
696,MATEMÁTICA,8
697,PEDAGOGIA,8
698,NUTRIÇÃO,8
699,COOPERATIVISMO,8
700,QUÍMICA,8
701,ZOOTECNIA,8
703,CIÊNCIA DA COMPUTAÇÃO,8
704,ARQUITETURA E URBANISMO,8
705,DIREITO,8
750,ARQUITETURA E URBANISMO,9
751,AGRONOMIA,9
754,EDUCAÇÃO FÍSICA,9
755,BIBLIOTECONOMIA,9
756,EDUCAÇÃO ARTÍSTICA,9
758,MEDICINA,9
759,FISIOTERAPIA,9
760,ODONTOLOGIA,9
761,FARMÁCIA,9
762,SERVIÇO SOCIAL,9
763,ENFERMAGEM,9
764,DIREITO,9
765,CIÊNCIAS ECONÔMICAS,9
766,ADMINISTRAÇÃO,9
767,CIÊNCIAS CONTÁBEIS,9
768,MATEMÁTICA,9
769,QUÍMICA,9
770,FÍSICA,9
771,GEOGRAFIA,9
772,CIÊNCIAS BIOLÓGICAS,9
773,PSICOLOGIA,9
774,CIÊNCIAS SOCIAIS,9
775,HISTÓRIA,9
777,MEDICINA VETERINÁRIA,9
778,CIÊNCIA DA COMPUTAÇÃO,9
779,FILOSOFIA,9
780,MÚSICA,9
781,SECRETARIADO EXECUTIVO,9
849,FILOSOFIA,10
850,PEDAGOGIA,10
855,EDUCAÇÃO FÍSICA,10
856,SECRETARIADO EXECUTIVO,10
857,DIREITO,10
859,SERVIÇO SOCIAL,10
860,MATEMÁTICA,10
861,CIÊNCIAS BIOLÓGICAS,10
863,ENGENHARIA CIVIL,10
864,ARQUITETURA E URBANISMO,10
865,CIÊNCIA DA COMPUTAÇÃO,10
866,PSICOLOGIA,10
867,ENFERMAGEM,10
868,MEDICINA,10
869,ODONTOLOGIA,10
870,FISIOTERAPIA,10
872,ENGENHARIA DA COMPUTAÇÃO,10
877,ADMINISTRAÇÃO,10
879,DIREITO,10
881,ENGENHARIA ELÉTRICA,10
882,CIÊNCIAS CONTÁBEIS,10
884,ENGENHARIA MECÂNICA,10
885,ENGENHARIA QUÍMICA,10
886,AGRONOMIA,10
888,MEDICINA VETERINÁRIA,10
950,FILOSOFIA,11
952,PSICOLOGIA,11
953,FONOAUDIOLOGIA,11
954,PEDAGOGIA,11
955,HISTÓRIA,11
957,SERVIÇO SOCIAL,11
958,CIÊNCIAS ECONÔMICAS,11
959,CIÊNCIAS CONTÁBEIS,11
960,ADMINISTRAÇÃO,11
963,DIREITO,11
964,ENGENHARIA CIVIL,11
965,MATEMÁTICA,11
966,FÍSICA,11
968,CIÊNCIA DA COMPUTAÇÃO,11
970,ENGENHARIA QUÍMICA,11
971,QUÍMICA,11
972,CIÊNCIAS BIOLÓGICAS,11
1026,MEDICINA,12
1027,CIÊNCIAS ECONÔMICAS,12
1028,ADMINISTRAÇÃO,12
1029,OCEANOLOGIA,12
1033,GEOGRAFIA,12
1034,HISTÓRIA,12
1035,MATEMÁTICA,12
1036,LETRAS - LÍNGUA PORTUGUESA,12
1037,LETRAS - PORTUGUÊS E FRANCÊS,12
1038,ENGENHARIA CIVIL,12
1039,ENGENHARIA MECÂNICA,12
1040,ENGENHARIA QUÍMICA,12
1041,CIÊNCIAS CONTÁBEIS,12
1042,BIBLIOTECONOMIA,12
1043,ENFERMAGEM,12
1044,ARTES VISUAIS,12
1045,ENGENHARIA DE ALIMENTOS,12
1046,LETRAS - PORTUGUÊS E INGLÊS,12
1051,ENGENHARIA DE COMPUTAÇÃO,12
1052,LETRAS - PORTUGUÊS E ESPANHOL,12
1095,HISTÓRIA,13
1098,SERVIÇO SOCIAL,13
1101,DIREITO,13
1103,CIÊNCIAS CONTÁBEIS,13
